P010129401801	2018.11.25-15:52
P010129403601	2018.11.25-16:00
P010129401901	2018.11.25-16:25
P010129403701	2018.11.25-16:36
P010129402001	2018.11.25-16:55
P010129402101	2018.11.25-17:35
P010129409101	2018.11.25-18:02
P010129402301	2018.11.25-18:44
P010129409201	2018.11.25-18:48
P010129402401	2018.11.25-19:12
P010129409301	2018.11.25-19:39
P010129402501	2018.11.25-19:46
P010129402601	2018.11.25-20:16
P010129409401	2018.11.25-20:22
P010129402701	2018.11.25-20:59
P010129409501	2018.11.25-21:15
P010129402901	2018.11.25-21:33
P010129403001	2018.11.25-22:22
P010129403101	2018.11.25-22:51
P010129403201	2018.11.25-23:24
P010129403301	2018.11.26-00:07
P010129401501	2018.11.26-00:08
P010129403401	2018.11.26-00:41
P010129401601	2018.11.26-00:41
P010129401701	2018.11.26-01:18
P010129403501	2018.11.26-01:20
P010129432701	2018.11.26-04:23
P010129432801	2018.11.26-04:59
P010129433301	2018.11.26-07:36
P010129433401	2018.11.26-08:01
P010129433501	2018.11.26-08:26
P010129433601	2018.11.26-08:48
P010129433701	2018.11.26-09:23
P010129433801	2018.11.26-09:52
P010129434401	2018.11.26-10:07
P010129433901	2018.11.26-10:23
P010129434501	2018.11.26-10:41
P010129436101	2018.11.26-10:51
P010129434001	2018.11.26-11:04
P010129434601	2018.11.26-11:18
P010129439501	2018.11.26-11:26
P010129436201	2018.11.26-11:31
P010129434101	2018.11.26-11:56
P010129434701	2018.11.26-12:01
P010129439601	2018.11.26-12:07
P010129436301	2018.11.26-12:13
P010129438001	2018.11.26-12:17
P010129442901	2018.11.26-12:22
P010129434201	2018.11.26-12:35
P010129444601	2018.11.26-12:38
P010129439701	2018.11.26-12:42
P010129436401	2018.11.26-12:45
P010129438101	2018.11.26-12:55
P010129443001	2018.11.26-12:58
P010129434901	2018.11.26-13:00
P010129444701	2018.11.26-13:11
P010129434301	2018.11.26-13:15
P010129439801	2018.11.26-13:16
P010129436501	2018.11.26-13:21
P010129441501	2018.11.26-13:22
P010129432501	2018.11.26-13:35
P010129438201	2018.11.26-13:38
P010129435001	2018.11.26-13:38
P010129444801	2018.11.26-13:52
P010129439901	2018.11.26-13:57
P010129441601	2018.11.26-14:03
P010129446301	2018.11.26-14:03
P010129436601	2018.11.26-14:04
P010129432601	2018.11.26-14:06
P010129435101	2018.11.26-14:13
P010129438301	2018.11.26-14:16
P010129443201	2018.11.26-14:18
P010129448001	2018.11.26-14:26
P010129440001	2018.11.26-14:31
P010129441701	2018.11.26-14:34
P010129449701	2018.11.26-14:36
P010129436701	2018.11.26-14:42
P010129446401	2018.11.26-14:43
P010129435201	2018.11.26-14:44
P010129438401	2018.11.26-14:49
P010129445001	2018.11.26-14:54
P010129443301	2018.11.26-14:55
P010129440101	2018.11.26-15:01
P010129441801	2018.11.26-15:07
P010129448101	2018.11.26-15:08
P010129449801	2018.11.26-15:16
P010129435301	2018.11.26-15:20
P010129438501	2018.11.26-15:23
P010129436801	2018.11.26-15:25
P010129446501	2018.11.26-15:26
P010129445101	2018.11.26-15:28
P010129443401	2018.11.26-15:31
P010129440201	2018.11.26-15:39
P010129448201	2018.11.26-15:51
P010129441901	2018.11.26-15:52
P010129449901	2018.11.26-16:04
P010129445201	2018.11.26-16:06
P010129435401	2018.11.26-16:12
P010129443501	2018.11.26-16:16
P010129446601	2018.11.26-16:19
P010129436901	2018.11.26-16:22
P010129440301	2018.11.26-16:28
P010129445301	2018.11.26-16:28
P010129448301	2018.11.26-16:33
P010129450001	2018.11.26-16:44
P010129443601	2018.11.26-16:48
P010129445401	2018.11.26-16:50
P010129435501	2018.11.26-16:50
P010129446701	2018.11.26-16:53
P010129437001	2018.11.26-16:55
P010129440401	2018.11.26-17:04
P010129448401	2018.11.26-17:07
P010129442101	2018.11.26-17:09
P010129445501	2018.11.26-17:10
P010129450101	2018.11.26-17:16
P010129443701	2018.11.26-17:23
P010129446801	2018.11.26-17:28
P010129435601	2018.11.26-17:29
P010129437101	2018.11.26-17:31
P010129445601	2018.11.26-17:34
P010129448501	2018.11.26-17:39
P010129440501	2018.11.26-17:43
P010129450201	2018.11.26-17:50
P010129442201	2018.11.26-17:52
P010129445701	2018.11.26-18:14
P010129437201	2018.11.26-18:15
P010129435701	2018.11.26-18:16
P010129446901	2018.11.26-18:17
P010129443801	2018.11.26-18:19
P010129448601	2018.11.26-18:23
P010129440601	2018.11.26-18:28
P010129450301	2018.11.26-18:32
P010129442301	2018.11.26-18:32
P010129435801	2018.11.26-18:49
P010129437301	2018.11.26-18:50
P010129447001	2018.11.26-18:56
P010129443901	2018.11.26-19:02
P010129440701	2018.11.26-19:03
P010129448701	2018.11.26-19:06
P010129445901	2018.11.26-19:08
P010129442401	2018.11.26-19:09
P010129450401	2018.11.26-19:15
P010129435901	2018.11.26-19:24
P010129447101	2018.11.26-19:33
P010129440801	2018.11.26-19:45
P010129439301	2018.11.26-19:50
P010129446001	2018.11.26-19:54
P010129442501	2018.11.26-19:54
P010129450501	2018.11.26-19:58
P010129448801	2018.11.26-20:01
P010129436001	2018.11.26-20:11
P010129447201	2018.11.26-20:21
P010129444101	2018.11.26-20:34
P010129440901	2018.11.26-20:36
P010129442601	2018.11.26-20:51
P010129446101	2018.11.26-20:53
P010129450601	2018.11.26-20:56
P010129451401	2018.11.26-21:00
P010129439401	2018.11.26-21:00
P010129448901	2018.11.26-21:02
P010129447301	2018.11.26-21:20
P010129444201	2018.11.26-21:28
P010129442701	2018.11.26-21:45
P010129446201	2018.11.26-21:51
P010129451501	2018.11.26-21:52
P010129450701	2018.11.26-21:55
P010129453101	2018.11.26-21:59
P010129449001	2018.11.26-22:00
P010129447401	2018.11.26-22:09
P010129444301	2018.11.26-22:18
P010129442801	2018.11.26-22:22
P010129451601	2018.11.26-22:31
P010129454801	2018.11.26-22:37
P010129456501	2018.11.26-22:37
P010129453201	2018.11.26-22:41
P010129449101	2018.11.26-22:43
P010129450801	2018.11.26-22:44
P010129447501	2018.11.26-22:53
P010129458201	2018.11.26-22:54
P010129444401	2018.11.26-22:59
P010129459901	2018.11.26-23:03
P010129451701	2018.11.26-23:07
P010129456601	2018.11.26-23:13
P010129453301	2018.11.26-23:16
P010129454901	2018.11.26-23:18
P010129449201	2018.11.26-23:23
P010129450901	2018.11.26-23:26
P010129447601	2018.11.26-23:33
P010129444501	2018.11.26-23:36
P010129458301	2018.11.26-23:38
P010129451801	2018.11.26-23:43
P010129453401	2018.11.26-23:51
P010129456701	2018.11.26-23:56
P010129455001	2018.11.27-00:03
P010129449301	2018.11.27-00:11
P010129447701	2018.11.27-00:23
P010129451901	2018.11.27-00:29
P010129461601	2018.11.27-00:34
P010129458401	2018.11.27-00:36
P010129453501	2018.11.27-00:38
P010129456801	2018.11.27-00:43
P010129455101	2018.11.27-00:49
P010129449401	2018.11.27-00:56
P010129460301	2018.11.27-01:00
P010129447801	2018.11.27-01:02
P010129458501	2018.11.27-01:19
P010129453601	2018.11.27-01:21
P010129461701	2018.11.27-01:21
P010129457101	2018.11.27-01:26
P010129455201	2018.11.27-01:31
P010129449501	2018.11.27-01:33
P010129460401	2018.11.27-01:36
P010129447901	2018.11.27-01:39
P010129458601	2018.11.27-02:11
P010129451301	2018.11.27-02:17
P010129453701	2018.11.27-02:20
P010129457201	2018.11.27-02:23
P010129455301	2018.11.27-02:24
P010129462001	2018.11.27-02:25
P010129460501	2018.11.27-02:36
P010129449601	2018.11.27-02:37
P010129458701	2018.11.27-03:08
P010129465001	2018.11.27-03:09
P010129453801	2018.11.27-03:23
P010129462101	2018.11.27-03:24
P010129460601	2018.11.27-03:32
P010129452401	2018.11.27-03:38
P010129465101	2018.11.27-03:41
P010129455501	2018.11.27-03:50
P010129457401	2018.11.27-03:52
P010129458801	2018.11.27-03:52
P010129462201	2018.11.27-04:01
P010129453901	2018.11.27-04:03
P010129463801	2018.11.27-04:06
P010129465201	2018.11.27-04:08
P010129460701	2018.11.27-04:11
P010129452501	2018.11.27-04:15
P010129457501	2018.11.27-04:25
P010129458901	2018.11.27-04:27
P010129455601	2018.11.27-04:29
P010129465301	2018.11.27-04:45
P010129462301	2018.11.27-04:49
P010129463901	2018.11.27-04:49
P010129454001	2018.11.27-04:49
P010129452601	2018.11.27-04:55
P010129457701	2018.11.27-05:07
P010129459001	2018.11.27-05:07
P010129455701	2018.11.27-05:17
P010129454101	2018.11.27-05:25
P010129464001	2018.11.27-05:25
P010129462401	2018.11.27-05:28
P010129460901	2018.11.27-05:35
P010129452701	2018.11.27-05:35
P010129457801	2018.11.27-05:40
P010129465501	2018.11.27-05:43
P010129459101	2018.11.27-05:47
P010129455801	2018.11.27-05:54
P010129454201	2018.11.27-05:54
P010129464101	2018.11.27-06:04
P010129457901	2018.11.27-06:09
P010129452801	2018.11.27-06:11
P010129461001	2018.11.27-06:14
P010129465601	2018.11.27-06:26
P010129459201	2018.11.27-06:41
P010129454301	2018.11.27-07:12
P010129455901	2018.11.27-07:22
P010129464201	2018.11.27-08:00
P010129452901	2018.11.27-08:11
P010129461101	2018.11.27-08:33
P010129465701	2018.11.27-09:06
P010129459301	2018.11.27-09:41
P010129454401	2018.11.27-11:01
P010129456001	2018.11.27-11:07
P010129464301	2018.11.27-12:26
P010129453001	2018.11.27-12:42
P010129461201	2018.11.27-13:16
P010129465801	2018.11.27-13:49
P010129459401	2018.11.27-14:09
P010129454501	2018.11.27-15:09
P010129456101	2018.11.27-15:13
P010129461301	2018.11.27-16:31
P010129465901	2018.11.27-16:56
P010129459501	2018.11.27-17:04
P010129454601	2018.11.27-17:40
P010129456201	2018.11.27-17:44
P010129464501	2018.11.27-18:13
P010129461401	2018.11.27-18:41
P010129466001	2018.11.27-19:10
P010129459601	2018.11.27-19:21
P010129454701	2018.11.27-20:16
P010129456301	2018.11.27-20:25
P010129464601	2018.11.27-21:17
P010129461501	2018.11.27-22:31
P010129466101	2018.11.27-22:56
P010129459701	2018.11.27-23:05
P010129464701	2018.11.28-01:15
P010129466201	2018.11.28-02:15
P010129459801	2018.11.28-02:26
P010129464801	2018.11.28-03:15
P010129466301	2018.11.28-04:22
P010129464901	2018.11.28-04:41
P010129466501	2018.11.28-07:44
P010129468201	2018.12.23-23:42
P010129467001	2018.12.23-23:47
P010129466801	2018.12.23-23:48
P010129467201	2018.12.23-23:53
P010129467601	2018.12.23-23:53
P010129466601	2018.12.23-23:53
P010129467801	2018.12.24-00:00
P010129468001	2018.12.24-00:03
P010129468301	2018.12.24-00:22
P010129467101	2018.12.24-00:36
P010129468501	2018.12.24-00:38
P010129466901	2018.12.24-00:41
P010129467501	2018.12.24-00:43
P010129467301	2018.12.24-00:50
P010129467701	2018.12.24-00:53
P010129466701	2018.12.24-00:53
P010129468101	2018.12.24-00:59
P010129467901	2018.12.24-01:01
P010129468601	2018.12.24-01:12
P010129468801	2018.12.24-01:16
P010129469201	2018.12.24-01:22
P010129469001	2018.12.24-01:22
P010129469501	2018.12.24-01:33
P010129469601	2018.12.24-01:35
P010129469801	2018.12.24-01:40
P010129470401	2018.12.24-01:48
P010129468701	2018.12.24-01:56
P010129469101	2018.12.24-02:03
P010129468901	2018.12.24-02:04
P010129470601	2018.12.24-02:06
P010129470801	2018.12.24-02:22
P010129469701	2018.12.24-02:22
P010129469901	2018.12.24-02:29
P010129470501	2018.12.24-02:38
P010129470701	2018.12.24-02:55
P010129471601	2018.12.24-03:03
P010129471801	2018.12.24-03:10
P010129472001	2018.12.24-03:10
P010129472201	2018.12.24-03:16
P010129471701	2018.12.24-03:47
P010129473401	2018.12.24-03:48
P010129472101	2018.12.24-03:51
P010129471901	2018.12.24-03:54
P010129473501	2018.12.24-04:13
P010129473601	2018.12.24-04:14
P010129473801	2018.12.24-04:18
P010129474101	2018.12.24-04:20
P010129474301	2018.12.24-04:23
P010129473701	2018.12.24-04:41
P010129473901	2018.12.24-04:43
P010129474201	2018.12.24-04:51
P010129474401	2018.12.24-04:57
P010129474001	2019.01.02-16:28
P010129475201	2019.01.02-16:36
P010129475101	2019.01.02-16:41
P010129475301	2019.01.02-16:43
P010129475001	2019.01.02-16:45
P010129475501	2019.01.02-16:55
P010129475401	2019.01.02-17:00
P010129474901	2019.01.02-17:02
P010129476201	2019.01.07-10:51
P010129476301	2019.01.07-10:55
P010129476101	2019.01.07-10:55
P010129476501	2019.01.07-10:58
P010129476401	2019.01.07-11:02
P010129475901	2019.01.07-11:02
P010129476001	2019.01.07-11:03
P010129476601	2019.01.07-11:04
P010129476801	2019.01.07-12:09
P010129476901	2019.01.07-12:19
P010129477001	2019.01.07-12:31
P010129477401	2019.01.07-12:36
P010129477501	2019.01.07-12:43
P010129477601	2019.01.07-12:45
P010129478201	2019.01.07-13:07
P010129478101	2019.01.07-13:07
P010129478301	2019.01.07-13:12
P010129478401	2019.01.07-13:13
P010129478501	2019.01.07-13:16
P010129478701	2019.01.07-13:24
P010129478601	2019.01.07-13:26
P010129479101	2019.01.20-22:01
P010129479201	2019.01.20-22:02
P010129479301	2019.01.20-22:02
P010129479001	2019.01.20-22:07
P010129479401	2019.01.21-11:46
P010129479501	2019.01.21-14:13
P010129479701	2019.01.26-21:54
P010129479601	2019.01.26-21:59
P010129480701	2019.02.16-22:57
P010129480801	2019.02.16-23:34
P010129481001	2019.02.16-23:44
P010129480901	2019.02.16-23:46
P010129481101	2019.02.16-23:46
P010129481201	2019.02.16-23:51
P010129481301	2019.02.16-23:53
P010129481701	2019.02.16-23:59
P010129481601	2019.02.17-00:00
P010129481501	2019.02.17-00:01
P010129481801	2019.02.17-00:18
P010129482201	2019.02.17-00:29
P010129402301	2019.05.05-18:37
P010129402401	2019.05.05-19:14
